"scenario","P","nuisance_fraction","P_selected","signals_retained","false_positives","enrichment","signal_mass"
"nuisance50",50,0.9,"3.433 +/- 2.417","2.500 +/- 0.820","0.933 +/- 2.033","1.829 +/- 0.252","0.168 +/- 0.019"
"nuisance100",100,0.95,"5.867 +/- 6.947","1.300 +/- 0.952","4.567 +/- 6.468","1.231 +/- 0.180","0.061 +/- 0.008"
