"eta","sigma","Original_Train_ARI_Mean","Original_Train_ARI_SD","Inductive_Train_ARI_Mean","Inductive_Train_ARI_SD","Delta_Train_ARI_Mean","Delta_Train_ARI_SD","Between_Methods_ARI_Mean","Between_Methods_ARI_SD","Inductive_Test_ARI_Mean","Inductive_Test_ARI_SD","Original_Train_NMI_Mean","Original_Train_NMI_SD","Inductive_Train_NMI_Mean","Inductive_Train_NMI_SD","Between_Methods_NMI_Mean","Between_Methods_NMI_SD","Inductive_Test_NMI_Mean","Inductive_Test_NMI_SD","Inductive_Test_Margin_Mean","Inductive_Test_Margin_SD"
5,3,0.96927840634751,0.0288066509457817,0.96927840634751,0.0288066509457817,0,0,1,0,0.975622829453412,0.0365840879221113,0.965202866298244,0.0283720326835215,0.965202866298244,0.0283720326835215,1,0,0.976758769619681,0.0344156570804306,0.281723936834603,0.0167544653533774
5,5,0.76182087985709,0.0815961329757995,0.76182087985709,0.0815961329757995,0,0,1,0,0.795754642651981,0.0854962592805953,0.776744417677939,0.0665456364609471,0.776744417677939,0.0665456364609471,1,0,0.807576585123104,0.0772222632338014,0.170069911028468,0.018288483070474
5,7,0.417069630813854,0.0898769956056273,0.417069630813854,0.0898769956056273,0,0,1,0,0.462426566241833,0.130926528990063,0.471237814162966,0.0768123317225875,0.471237814162966,0.0768123317225875,1,0,0.509378424778757,0.10133542461833,0.110401959285207,0.0130368943299011
10,3,0.845353285421375,0.0689807710213368,0.845353285421375,0.0689807710213368,0,0,1,0,0.906468366873353,0.0739577058170836,0.846622044186231,0.0574221656682034,0.846622044186231,0.0574221656682034,1,0,0.914369320725793,0.0624115634815046,0.187950355865759,0.0148691425739833
10,5,0.622932324411765,0.0959091785903717,0.622932324411765,0.0959091785903717,0,0,1,0,0.706540353813783,0.0827085855452481,0.647998592686476,0.0778430673724827,0.647998592686476,0.0778430673724827,1,0,0.732741830511094,0.0742184774301402,0.134565362675344,0.0135480761293117
10,7,0.407691095882233,0.099004413033797,0.407691095882233,0.099004413033797,0,0,1,0,0.449828195659987,0.131675299173025,0.450637326549128,0.0918780705819299,0.450637326549128,0.0918780705819299,1,0,0.517533096100346,0.112547814116534,0.102109695423899,0.00919440542713001
15,3,0.635910629093568,0.107006277142654,0.635910629093568,0.107006277142654,0,0,1,0,0.762980369108927,0.100831391790047,0.649818304229587,0.0883350417674861,0.649818304229587,0.0883350417674861,1,0,0.792398372485849,0.0754258367938589,0.128117838177979,0.0143292907837179
15,5,0.465400186386296,0.0811015739308022,0.465400186386296,0.0811015739308022,0,0,1,0,0.528412131114347,0.0999273793748799,0.497486523949521,0.0698073154401706,0.497486523949521,0.0698073154401706,1,0,0.582028097524779,0.0826805530049118,0.102207229030623,0.013592248477834
15,7,0.320512914843152,0.0913527150127771,0.320512914843152,0.0913527150127771,0,0,1,0,0.352443502220136,0.108507593649449,0.370767345595343,0.0814714066860479,0.370767345595343,0.0814714066860479,1,0,0.431544492957655,0.117612383755678,0.0907630554741782,0.01226865159567
