"eta","sigma","run","Original_Train_ARI","Original_Train_NMI","Inductive_Train_ARI","Inductive_Train_NMI","Between_Methods_ARI","Between_Methods_NMI","Delta_Train_ARI","Delta_Train_NMI","Inductive_Test_ARI","Inductive_Test_NMI","Inductive_Test_Margin","Test_Minus_Train_ARI","Test_Minus_Train_NMI","Time_Original","Time_Inductive_Fit","Time_Inductive_Predict"
5,3,1,0.96035931572747,0.952415780167003,0.96035931572747,0.952415780167003,1,1,0,0,1,1,0.290168568935263,0.0396406842725295,0.0475842198329969,0.554999999999993,1.514,3.107
5,3,2,0.980548781947076,0.976445227867886,0.980548781947076,0.976445227867886,1,1,0,0,0.956580019449628,0.954921783339525,0.277334452260702,-0.0239687624974483,-0.0215234445283613,0.640000000000001,1.50399999999999,3.12299999999999
5,3,3,0.960653149852533,0.95268437276998,0.960653149852533,0.95268437276998,1,1,0,0,0.924156855620363,0.925208464442672,0.300761086194429,-0.0364962942321699,-0.0274759083273083,0.540000000000006,1.51900000000001,3.129
5,3,4,0.981458417177792,0.976260587416063,0.981458417177792,0.976260587416063,1,1,0,0,1,1,0.286430809046132,0.0185415828222081,0.0237394125839367,0.542000000000002,1.53400000000001,3.211
5,3,5,0.961815274015521,0.952271021206114,0.961815274015521,0.952271021206114,1,1,0,0,1,1,0.276129897903769,0.0381847259844794,0.0477289787938857,0.545000000000002,1.535,3.13699999999999
5,3,6,0.962187611602238,0.960195698570079,0.962187611602238,0.960195698570079,1,1,0,0,1,1,0.277205883909119,0.037812388397762,0.0398043014299212,0.542999999999978,1.542,3.12899999999999
5,3,7,0.979865653859553,0.975563910107943,0.979865653859553,0.975563910107943,1,1,0,0,0.910609822818905,0.904347289114702,0.275281328781513,-0.0692558310406481,-0.0712166209932413,0.538999999999987,1.63600000000002,3.124
5,3,8,0.88407898332622,0.905252176407589,0.88407898332622,0.905252176407589,1,1,0,0,0.90595450096925,0.920976450819693,0.260002221144868,0.0218755176430296,0.0157242744121038,0.545000000000016,1.54400000000001,3.12799999999999
5,3,9,1,1,1,1,1,1,0,0,1,1,0.333968221490519,0,0,0.545000000000016,1.54399999999998,3.13299999999998
5,3,10,1,1,1,1,1,1,0,0,0.951309502727665,0.95177566135989,0.265938739748116,-0.048690497272335,-0.0482243386401098,0.536000000000001,1.547,3.12800000000001
5,3,11,0.979797970030039,0.976111553949244,0.979797970030039,0.976111553949244,1,1,0,0,1,1,0.30125952952953,0.0202020299699613,0.0238884460507559,0.548000000000002,1.54500000000002,3.143
5,3,12,0.943345719381095,0.929499967596205,0.943345719381095,0.929499967596205,1,1,0,0,1,1,0.283164692255281,0.0566542806189054,0.070500032403795,0.545000000000016,1.547,3.12100000000001
5,3,13,0.925311755402609,0.912642357609915,0.925311755402609,0.912642357609915,1,1,0,0,1,1,0.273292078752464,0.0746882445973911,0.0873576423900848,0.538999999999987,1.55099999999999,3.13399999999999
5,3,14,0.981395588559036,0.976441854181337,0.981395588559036,0.976441854181337,1,1,0,0,1,1,0.275584065203596,0.0186044114409639,0.0235581458186633,0.548000000000002,1.54399999999998,3.14400000000001
5,3,15,1,1,1,1,1,1,0,0,1,1,0.277021084617025,0,0,0.549000000000007,1.54500000000002,3.131
