"Experiment","Structure","Condition","Run","N","P","Signal","Noise","SignalFraction","Method","Mtry","ARI","NMI","Time"
"DIMENSIONALITY","BALANCED","N80_P10_S4",9,80,10,4,6,0.4,"longTAPIO",4,0.86937573229088,0.868444715099632,0.67699999999968
"DIMENSIONALITY","BALANCED","N80_P10_S4",9,80,10,4,6,0.4,"kml3d",NA,0.485479393551142,0.558519033818183,0.242999999999483
"DIMENSIONALITY","BALANCED","N80_P10_S4",10,80,10,4,6,0.4,"longTAPIO",4,0.629163251620594,0.710582203166454,0.577000000000226
"DIMENSIONALITY","BALANCED","N80_P10_S4",10,80,10,4,6,0.4,"kml3d",NA,0.522825049083243,0.580504277469528,0.242999999999483
"DIMENSIONALITY","BALANCED","N80_P10_S4",11,80,10,4,6,0.4,"longTAPIO",4,0.681708299758259,0.732791745217079,0.587999999999738
"DIMENSIONALITY","BALANCED","N80_P10_S4",11,80,10,4,6,0.4,"kml3d",NA,0.271103258735768,0.382349060868274,0.240999999999985
"DIMENSIONALITY","BALANCED","N80_P10_S4",12,80,10,4,6,0.4,"longTAPIO",4,0.656539644476881,0.733777275633693,0.582000000000335
"DIMENSIONALITY","BALANCED","N80_P10_S4",12,80,10,4,6,0.4,"kml3d",NA,0.243732724303903,0.305256455240115,0.240999999999985
"DIMENSIONALITY","BALANCED","N80_P10_S4",13,80,10,4,6,0.4,"longTAPIO",4,0.733381999767247,0.801337424934159,0.58600000000024
"DIMENSIONALITY","BALANCED","N80_P10_S4",13,80,10,4,6,0.4,"kml3d",NA,0.442048075444621,0.535822222067564,0.244000000000597
"DIMENSIONALITY","BALANCED","N80_P10_S4",14,80,10,4,6,0.4,"longTAPIO",4,0.595076463220822,0.692542582361427,0.576000000000022
"DIMENSIONALITY","BALANCED","N80_P10_S4",14,80,10,4,6,0.4,"kml3d",NA,0.387286713729463,0.484218660541088,0.240999999999985
"DIMENSIONALITY","BALANCED","N80_P10_S4",15,80,10,4,6,0.4,"longTAPIO",4,0.691726268749265,0.75581292931566,0.575999999999112
"DIMENSIONALITY","BALANCED","N80_P10_S4",15,80,10,4,6,0.4,"kml3d",NA,0.50402819192193,0.573167431834922,0.242000000000189
"DIMENSIONALITY","BALANCED","N80_P10_S4",16,80,10,4,6,0.4,"longTAPIO",4,0.737929098075103,0.818201400504777,0.588999999999942
"DIMENSIONALITY","BALANCED","N80_P10_S4",16,80,10,4,6,0.4,"kml3d",NA,0.39999578641329,0.464317398828801,0.242000000000189
"DIMENSIONALITY","BALANCED","N80_P10_S4",17,80,10,4,6,0.4,"longTAPIO",4,0.757603942824765,0.815803476352548,0.580000000000837
"DIMENSIONALITY","BALANCED","N80_P10_S4",17,80,10,4,6,0.4,"kml3d",NA,0.499664704567469,0.577328755717748,0.244999999999891
"DIMENSIONALITY","BALANCED","N80_P10_S4",18,80,10,4,6,0.4,"longTAPIO",4,0.744270361258578,0.803523740338379,0.582000000000335
"DIMENSIONALITY","BALANCED","N80_P10_S4",18,80,10,4,6,0.4,"kml3d",NA,0.20476266242376,0.331844828035927,0.24199999999928
"DIMENSIONALITY","BALANCED","N80_P10_S4",19,80,10,4,6,0.4,"longTAPIO",4,0.737929098075103,0.818201400504777,0.573999999999614
"DIMENSIONALITY","BALANCED","N80_P10_S4",19,80,10,4,6,0.4,"kml3d",NA,0.694588701267236,0.761804493624434,0.244000000000597
"DIMENSIONALITY","BALANCED","N80_P10_S4",20,80,10,4,6,0.4,"longTAPIO",4,0.493200324446177,0.619530684584488,0.587999999999738
"DIMENSIONALITY","BALANCED","N80_P10_S4",20,80,10,4,6,0.4,"kml3d",NA,0.257493649449619,0.345718986331399,0.240999999999985
"DIMENSIONALITY","BALANCED","N80_P25_S10",1,80,25,10,15,0.4,"longTAPIO",5,0.646084093485184,0.707873501784619,0.599999999999454
"DIMENSIONALITY","BALANCED","N80_P25_S10",1,80,25,10,15,0.4,"kml3d",NA,0.522390455299342,0.596973538785823,0.454999999999927
"DIMENSIONALITY","BALANCED","N80_P25_S10",2,80,25,10,15,0.4,"longTAPIO",5,0.717087312414734,0.786698275609013,0.701999999999316
"DIMENSIONALITY","BALANCED","N80_P25_S10",2,80,25,10,15,0.4,"kml3d",NA,0.689108608679537,0.751445202947962,0.454999999999927
"DIMENSIONALITY","BALANCED","N80_P25_S10",3,80,25,10,15,0.4,"longTAPIO",5,0.876153980142832,0.902496636752747,0.596000000000458
"DIMENSIONALITY","BALANCED","N80_P25_S10",3,80,25,10,15,0.4,"kml3d",NA,0.751114647945668,0.783159815992553,0.458999999999833
"DIMENSIONALITY","BALANCED","N80_P25_S10",4,80,25,10,15,0.4,"longTAPIO",5,0.751311647429171,0.827819531114783,0.604999999999563
"DIMENSIONALITY","BALANCED","N80_P25_S10",4,80,25,10,15,0.4,"kml3d",NA,0.736014534286425,0.778313792845234,0.456000000000131
"DIMENSIONALITY","BALANCED","N80_P25_S10",5,80,25,10,15,0.4,"longTAPIO",5,0.845014850779803,0.84747643558397,0.598999999999251
"DIMENSIONALITY","BALANCED","N80_P25_S10",5,80,25,10,15,0.4,"kml3d",NA,0.543489799801705,0.61310284181438,0.45299999999952
"DIMENSIONALITY","BALANCED","N80_P25_S10",6,80,25,10,15,0.4,"longTAPIO",5,0.850094876660342,0.88719873517385,0.606999999999971
"DIMENSIONALITY","BALANCED","N80_P25_S10",6,80,25,10,15,0.4,"kml3d",NA,0.743537333173019,0.783463626229443,0.46100000000024
"DIMENSIONALITY","BALANCED","N80_P25_S10",7,80,25,10,15,0.4,"longTAPIO",5,0.653866643472967,0.713587048403834,0.594999999999345
"DIMENSIONALITY","BALANCED","N80_P25_S10",7,80,25,10,15,0.4,"kml3d",NA,0.572511693790826,0.639674872910917,0.457999999999629
"DIMENSIONALITY","BALANCED","N80_P25_S10",8,80,25,10,15,0.4,"longTAPIO",5,0.824551471869012,0.855528263416781,0.605999999999767
"DIMENSIONALITY","BALANCED","N80_P25_S10",8,80,25,10,15,0.4,"kml3d",NA,0.71373385420634,0.73330285522818,0.451000000000022
"DIMENSIONALITY","BALANCED","N80_P25_S10",9,80,25,10,15,0.4,"longTAPIO",5,0.772501267297259,0.817571792759357,0.601000000000568
"DIMENSIONALITY","BALANCED","N80_P25_S10",9,80,25,10,15,0.4,"kml3d",NA,0.641424197657739,0.699075503748748,0.452000000000226
"DIMENSIONALITY","BALANCED","N80_P25_S10",10,80,25,10,15,0.4,"longTAPIO",5,0.850094876660342,0.88719873517385,0.601000000000568
"DIMENSIONALITY","BALANCED","N80_P25_S10",10,80,25,10,15,0.4,"kml3d",NA,0.845154013775281,0.851268662152866,0.459000000000742
"DIMENSIONALITY","BALANCED","N80_P25_S10",11,80,25,10,15,0.4,"longTAPIO",5,0.733381999767247,0.801337424934159,0.592999999999847
"DIMENSIONALITY","BALANCED","N80_P25_S10",11,80,25,10,15,0.4,"kml3d",NA,0.701165338536841,0.75518128433212,0.456000000000131
