"longTAPIO_trajectories_PC1" "longTAPIO_trajectories_PCwr"
"1" 0.634130035099448 0.92070343790247
"2" 0.877037432944708 1
"3" 0.523772983722702 0.619618018683117
"4" 0.921894482079803 0.986598879940902
"5" 0.760520108125255 1
"6" 0.887249217465532 0.986598879940902
"7" 0.960608828917197 1
"8" 0.799785382606925 0.910284160811717
"9" 0.883564732986335 0.96006736952087
"10" 0.973333124730886 1
"11" 0.884294397529341 1
"12" 0.828316367633892 0.97347395681731
"13" 0.960630467282476 0.973066095899961
"14" 0.86523345745622 0.973333124730886
"15" 0.869425942554859 0.933347555130411
"16" 0.634390687369551 0.90889945656795
"17" 0.88330840779851 0.93469056890693
"18" 0.835487028579852 0.960078340434069
"19" 0.653181483676477 0.934131622571132
"20" 0.847340895022616 0.986598879940902
"21" 0.895406087004413 0.986598879940902
"22" 0.385048449413945 0.836365463524469
"23" 0.94803060927473 1
"24" 0.867128315952285 0.960354441775282
"25" 0.55856782294205 0.844245352246338
"26" 0.336941373364748 0.860728418930732
"27" 0.946538230555198 0.973066095899961
"28" 0.898009749302676 0.986598879940902
"29" 0.523592161256467 0.869967981385823
"30" 0.800702197138601 0.973333124730886
"31" 0.810809137829762 0.986598879940902
"32" 0.92217590523858 0.986598879940902
"33" 0.468377004494314 0.811188013850637
"34" 0.834473734779087 0.884565506407663
"35" 0.934916336156692 0.986598879940902
"36" 0.872386017048565 0.960078340434069
"37" 0.875743605300496 0.97347395681731
"38" 0.886553596921147 0.986598879940902
"39" 0.524398115407789 0.794588986025485
"40" 0.97347395681731 0.97347395681731
"41" 0.578394539017762 0.858708218965672
"42" 0.542655160011461 0.88241641605024
"43" 0.820151747619748 0.922348590424266
"44" 0.920509232211519 0.960078340434069
"45" 0.665066624538975 0.960338099219033
"46" 0.612707220199697 0.986598879940902
"47" 0.947635388965987 0.986598879940902
"48" 0.742205856614117 0.973199601143244
"49" 0.791064117289372 0.908125139813709
"50" 0.90715743365987 0.934113531156584
