"longTAPIO_trajectories_PC1" "longTAPIO_trajectories_PCwr"
"1" 0.637520380770434 0.920865930578998
"2" 1 1
"3" 0.517435887443299 0.845896583557929
"4" 0.986598879940902 0.986598879940902
"5" 0.95980216322758 0.986598879940902
"6" 0.935213649305076 0.935213649305076
"7" 0.677764575664265 0.693728980562364
"8" 0.923135824308904 0.947613803405344
"9" 0.858445421624418 0.772721735671737
"10" 0.973333124730886 0.986598879940902
"11" 0.77665664411705 0.827669513188931
"12" 0.960078340434069 0.910277761721313
"13" 0.861718904804171 0.883976814345276
"14" 0.946560256276901 0.946560256276901
"15" 1 1
"16" 0.833191138731027 0.872726605419785
"17" 0.501541527991324 0.655845206322303
"18" 0.986598879940902 0.795655396391176
"19" 0.959934757264648 0.959934757264648
"20" 0.973333124730886 0.898650438060988
"21" 0.763345559237006 0.51210826619994
"22" 0.947656956745438 0.973336788403479
"23" 0.947635388965987 0.973333124730886
"24" 0.698438594267954 0.66624981893038
"25" 0.973199601143244 0.973333124730886
"26" 0.947635388965987 0.973333124730886
"27" 0.947656956745438 0.986598879940902
"28" 0.769176810037073 0.769176810037073
"29" 0.973336788403479 0.973336788403479
"30" 0.97347395681731 0.973336788403479
"31" 0.704843970041713 0.341780661278721
"32" 0.875267405135127 0.959807685114977
"33" 0.986598879940902 0.960078340434069
"34" 0.718117627462662 0.764556256647061
"35" 1 0.986598879940902
"36" 0.225963929728022 0.629155125800684
"37" 0.920552841200738 0.756520853992058
"38" 0.973333124730886 0.973199601143244
"39" 0.616407985089331 0.869697363240945
"40" 0.895506551431574 0.907621967589493
"41" 1 1
"42" 0.986598879940902 0.986598879940902
"43" 0.867034351473188 0.71431300875034
"44" 1 0.986598879940902
"45" 1 1
"46" 0.415412585989147 0.817960770725742
"47" 0.986598879940902 0.973333124730886
"48" 0.626443863508113 0.822609806032065
"49" 0.960630467282476 0.97347395681731
"50" 0.896972315870576 0.724663212856521
