"longTAPIO_trajectories_PC1" "longTAPIO_trajectories_PCwr"
"1" 0.656518712890376 0.762219508421742
"2" 0.617875255456762 0.900610462827998
"3" 0.784196252015146 0.960608828917197
"4" 0.96006736952087 0.973466666666667
"5" 0.61915379502333 0.759662635370053
"6" 1 1
"7" 0.751100582730277 1
"8" 0.947211335585178 1
"9" 0.835283611609308 0.986598879940902
"10" 0.973333124730886 1
"11" 0.946845436694979 1
"12" 0.305293067192367 0.661292439312801
"13" 0.986598879940902 1
"14" 0.861688140406456 0.934636740439509
"15" 0.889742189894201 1
"16" 0.788255108596738 0.97347395681731
"17" 0.689746311114068 0.708544970569995
"18" 0.895848366506441 1
"19" 0.89660217221357 1
"20" 0.727966589386012 0.96006736952087
"21" 0.713257063095574 0.934636740439509
"22" 0.733170629889294 0.727160698692332
"23" 0.960608828917197 0.986598879940902
"24" 0.727268196655952 0.836837126028707
"25" 0.678868596898973 0.686532004051907
"26" 0.830025624277747 1
"27" 0.86899275839368 0.97347395681731
"28" 0.877004053152667 1
"29" 0.783460871978041 0.959813205485525
"30" 0.589115243899564 0.92159073925626
"31" 0.888604299658922 0.986598879940902
"32" 0.986598879940902 1
"33" 0.960630467282476 1
"34" 0.868561435845262 1
"35" 0.935807541467887 1
"36" 0.973066095899961 1
"37" 0.973333124730886 0.986598879940902
"38" 1 1
"39" 0.63173522126447 0.783095815625267
"40" 0.702534501572839 0.748070586608821
"41" 0.709977764267928 0.986598879940902
"42" 0.93387927162627 0.986598879940902
"43" 0.744662859154967 0.973066095899961
"44" 0.670944684263316 1
"45" 0.960338099219033 1
"46" 0.960343548234616 1
"47" 0.410630924384679 0.734289061162896
"48" 0.838090471633352 1
"49" 0.663741712872766 0.699105385952719
"50" 0.718648674733995 0.986598879940902
