"longTAPIO_trajectories_PC1" "longTAPIO_trajectories_PCwr"
"1" 0.731791916807451 0.848154222615926
"2" 0.827669513188931 0.986598879940902
"3" 0.619157736026762 0.581737322230724
"4" 0.921634520231544 1
"5" 0.881707632004002 0.960630467282476
"6" 0.909203247086557 0.959813205485525
"7" 0.594351334371042 0.838031376707163
"8" 0.900474036705227 0.93469056890693
"9" 0.921926665202518 0.96006736952087
"10" 0.548189961151188 0.601018711167916
"11" 0.96006736952087 0.973199601143244
"12" 0.960608828917197 1
"13" 0.908521402812606 1
"14" 0.731191163905162 0.786994265527641
"15" 0.878994662522803 1
"16" 0.560438164934304 0.886231345940612
"17" 0.911248218929613 0.960630467282476
"18" 0.986598879940902 1
"19" 0.894695476798443 1
"20" 0.593527602907583 0.830025624277747
"21" 0.874268914861982 0.959813205485525
"22" 0.831623379834584 0.95980216322758
"23" 0.777453862419213 0.889197088331093
"24" 1 1
"25" 0.923732821605636 1
"26" 0.934627760400407 0.973199601143244
"27" 0.59521911922952 0.758559236662551
"28" 0.960630467282476 0.986598879940902
"29" 1 1
"30" 0.786684697044287 0.907879826879141
"31" 1 1
"32" 0.873843272857486 1
"33" 0.851583524767324 0.896303397129869
"34" 1 1
"35" 0.709256827334191 0.798845697973413
"36" 1 1
"37" 0.933870195003109 1
"38" 0.69348921286541 0.94803060927473
"39" 0.885722828382541 0.96006736952087
"40" 0.626360331994791 0.796701673657665
"41" 0.986598879940902 1
"42" 0.713189243160398 0.847840524342229
"43" 0.935807541467887 0.986598879940902
"44" 0.584908653255132 0.771984136633062
"45" 0.733415663424438 0.659887804045303
"46" 0.72156674189688 0.825605963247272
"47" 0.92366995737226 1
"48" 0.800027338360253 0.912167132558482
"49" 0.648008333988948 0.790451663226127
"50" 0.948016326530612 0.97347395681731
