"KML3D" "TAPIO_sample" "TAPIO_trajectories"
"1" 0.986598879940902 0.960608828917197 0.947240331472934
"2" 0.97347395681731 0.946699206667528 0.960072855731098
"3" 1 0.934969927013647 0.960608828917197
"4" 0.947635388965987 0.923732821605636 0.960630467282476
"5" 1 0.946845436694979 0.846450617283951
"6" 1 0.92217590523858 0.960630467282476
"7" 0.986598879940902 0.960630467282476 0.935807541467887
"8" 0.986598879940902 0.960354441775282 0.986598879940902
"9" 0.986598879940902 0.877559018609383 0.920617187048722
"10" 0.986598879940902 0.923083088958041 0.97347395681731
"11" 0.986598879940902 0.921784960061257 0.973466666666667
"12" 1 0.986598879940902 0.97347395681731
"13" 0.960608828917197 0.86444132537498 0.923837365536673
"14" 1 0.986598879940902 0.986598879940902
"15" 0.986598879940902 0.935213649305076 0.986598879940902
"16" 1 0.923837365536673 0.922629777353638
"17" 0.986598879940902 0.907596595030692 0.946560256276901
"18" 1 0.973336788403479 0.973199601143244
"19" 0.973066095899961 0.899809385962594 0.96006736952087
"20" 1 0.848090573200908 0.868668936984452
"21" 1 0.96006736952087 0.898816989254602
"22" 0.935737017041843 0.973466666666667 0.935807541467887
"23" 1 0.910351650487152 1
"24" 0.973466666666667 0.960630467282476 0.948073410454901
"25" 0.960630467282476 0.935701696686146 0.95980216322758
"26" 0.947656956745438 0.909490661896827 0.895620246525046
"27" 1 0.960630467282476 0.986598879940902
"28" 1 0.921894482079803 0.973199601143244
"29" 1 0.93359972545302 0.973333124730886
"30" 0.986598879940902 0.935807541467887 0.960608828917197
"31" 1 0.84896069532541 0.948073410454901
"32" 0.94803060927473 0.878297055753675 0.877709504722514
"33" 1 0.973066095899961 0.923837365536673
"34" 0.960338099219033 0.884947782685645 0.910634348765116
"35" 0.96006736952087 0.909220080915951 0.871005301541694
"36" 0.986598879940902 0.973333124730886 0.973199601143244
"37" 0.986598879940902 0.896460117404372 0.921784960061257
"38" 0.960608828917197 0.973333124730886 0.986598879940902
"39" 0.986598879940902 0.97347395681731 0.96006736952087
"40" 0.973466666666667 0.9464212868029 0.882134199583565
"41" 1 0.97347395681731 0.960354441775282
"42" 0.986598879940902 0.896331892459487 0.973333124730886
"43" 0.973466666666667 0.94762100056927 0.973466666666667
"44" 0.97347395681731 0.86523345745622 0.874211567207707
"45" 0.986598879940902 0.960354441775282 0.97347395681731
"46" 0.973333124730886 0.960343548234616 0.947489261454675
"47" 0.986598879940902 0.922738519637154 0.986598879940902
"48" 0.986598879940902 0.934925274099213 0.960078340434069
"49" 1 0.973199601143244 1
"50" 0.973466666666667 0.910634348765116 0.93469056890693
