"longTAPIO_sample" "longTAPIO_trajectories" "KML"
"1" 0.752371301175517 1 0.883232653061224
"2" 0.505321220247534 0.745503868180448 0.84678538201642
"3" 0.582452940545837 0.834075047011458 0.760802160771984
"4" 0.572731403857906 1 0.813118390669004
"5" 0.780491493587952 0.803188467978375 0.81008987244832
"6" 0.464843786441279 0.818808269152817 0.759892134024698
"7" 0.58200941075398 0.719583748477804 0.863229696596347
"8" 0.645614120583764 0.788044356794155 0.826781642484489
"9" 0.645760856475186 0.759198707107152 0.883459633572875
"10" 0.534688847321211 0.97993200471804 0.865661168656856
"11" 0.615493115773614 1 0.796410801246694
"12" 0.501480583501921 0.745503868180448 0.740979281762333
"13" 0.682731380644322 0.834899361547547 0.86811093480398
"14" 0.659367680087427 1 0.778128174478519
"15" 0.475129651978212 0.718357614119696 0.668782587139484
"16" 0.525785879382188 0.788044356794155 0.775260290450066
"17" 0.735861615502909 0.788044356794155 0.922155102040816
"18" 0.811736457855114 0.851456931395815 0.809600713419575
"19" 0.902984110931228 0.922241429922698 0.902538494907915
"20" 0.702031745774894 0.717068371465936 0.829594333092634
"21" 0.670398230326069 0.834899361547547 0.810900588040857
"22" 0.66963991947776 1 0.865199829671683
"23" 0.514884367449367 0.462973284286404 0.7231300201315
"24" 0.617841187033961 1 0.865661168656856
"25" 0.748122622801599 0.557343082994393 0.81208345564652
"26" 0.556755150957755 0.851456931395815 0.700879761426137
"27" 0.793616526260544 1 0.827973351718961
"28" 0.576483188565815 0.97993200471804 0.920555383267773
"29" 0.652099089293854 0.759198707107152 0.778435502466807
"30" 0.851456931395815 1 0.829594333092634
"31" 0.429565770883519 0.77337991632812 0.709457000548594
"32" 0.84678538201642 0.941044980073668 0.827901737430464
"33" 0.594203192668147 0.941044980073668 0.868037727994384
"34" 0.605840551895845 0.759198707107152 0.831589073921049
"35" 0.690572228794614 0.803188467978375 0.825306254423826
"36" 0.79393274287183 0.818808269152817 0.865717047071825
"37" 0.65922866911718 0.788044356794155 0.829212777326812
"38" 0.81384929048431 0.960277691633887 0.921552382079611
"39" 0.638977490690132 1 0.828307151476564
"40" 0.753182144379516 0.788044356794155 0.811763537982232
"41" 0.683281040378842 0.678791971306572 0.810816028014769
"42" 0.613912696830775 0.581768295058927 0.728329946061601
"43" 0.438035230953543 1 0.758575935547329
"44" 0.651291640133524 0.885950197873068 0.811136425698064
"45" 0.520058681638761 0.772631417041411 0.847148299319728
"46" 0.567991642949271 0.745503868180448 0.830545851795388
"47" 0.787401702472639 1 0.884707699797513
"48" 0.466466890980888 1 0.829260136774583
"49" 0.674530362603757 1 0.864096739947503
"50" 0.585496622746869 0.941044980073668 0.761107870054953
