"longTAPIO_sample" "longTAPIO_trajectories" "KML3D"
"1" 0.377703199002147 0.557284543435731 0.699806938053768
"2" 0.910634348765116 0.959813205485525 0.986598879940902
"3" 0.676228591380726 1 0.703755470491083
"4" 0.384449152542373 1 0.973199601143244
"5" 0.553825715505621 0.554883049822858 0.811269765838675
"6" 0.342307472800004 0.451600449509488 0.635492244002466
"7" 0.935160237289819 0.973333124730886 0.934375099866935
"8" 1 1 1
"9" 0.986598879940902 0.986598879940902 1
"10" 0.336758607798232 0.73316252050255 0.780994823439899
"11" 0.473312691584054 0.959807685114977 0.986598879940902
"12" 0.786866744210151 0.745693207302847 0.871609324574124
"13" 0.320752774463322 1 0.97347395681731
"14" 1 1 0.986598879940902
"15" 0.973466666666667 0.97347395681731 0.973466666666667
"16" 0.77842415212099 0.986598879940902 0.842299950819706
"17" 0.246249608529158 0.934167775610836 1
"18" 0.960608828917197 1 0.960630467282476
"19" 0.52852250584171 1 0.886485709227771
"20" 0.171380550926128 0.88709446177492 0.656579377879479
"21" 0.586784514332415 0.986598879940902 1
"22" 0.56376707977459 0.534191606754723 0.785143948088398
"23" 0.581396899595526 1 0.80106253860575
"24" 0.493020701438575 0.947211335585178 0.668714276062428
"25" 1 1 0.973199601143244
"26" 0.568951898569253 0.73930277934647 0.762192029758241
"27" 0.960343548234616 0.946552916386473 0.986598879940902
"28" 0.218700495706457 0.912022546306514 0.986598879940902
"29" 0.986598879940902 0.986598879940902 0.973199601143244
"30" 0.986598879940902 0.986598879940902 0.986598879940902
"31" 0.94803060927473 1 0.818057142857143
"32" 0.353886966131864 0.948073410454901 0.973336788403479
"33" 0.452962089722233 0.973466666666667 0.755986737903533
"34" 0.843235478559996 0.921244711363887 1
"35" 0.372040076671326 0.986598879940902 0.960338099219033
"36" 0.573941602948117 0.986598879940902 0.649317861692454
"37" 0.378891289096041 0.65637715635553 1
"38" 0.744821743619542 0.837058287789835 0.896431488132364
"39" 1 1 1
"40" 0.391141480868173 0.700181186596105 0.82295337565834
"41" 0.676046355130074 0.973199601143244 0.878297055753675
"42" 0.662477167956858 0.960343548234616 0.866142557010358
"43" 0.427069973319841 0.419648004340602 0.71641572274293
"44" 0.590480107737317 0.773990161481914 0.723645461275349
"45" 0.25836668970647 0.785045671632946 0.754171634697737
"46" 0.840592326852776 0.874418025172189 0.934348048195328
"47" 0.688149808017341 0.986598879940902 0.746767162958928
"48" 0.986598879940902 1 0.959813205485525
"49" 1 1 1
"50" 0.553331830306996 0.899465359177593 0.836016665669482
"51" 0.665563367406075 0.986598879940902 0.783639210228755
"52" 0.959813205485525 0.97347395681731 1
"53" 0.986598879940902 0.973336788403479 0.986598879940902
"54" 0.986598879940902 1 1
"55" 0.444985073704047 0.735856694258222 0.715676587294841
"56" 0.986598879940902 0.960078340434069 0.986598879940902
"57" 0.743001055178024 1 0.809105117991664
"58" 0.530895968839787 0.960078340434069 0.960608828917197
"59" 0.573718561810069 0.525488513850769 0.80098768856537
"60" 0.388178851595368 0.387139756177759 0.611389097754529
"61" 0.396988242314711 0.87291413850378 0.674088244102625
"62" 0.286138309017295 0.86305628194602 0.610883749116251
"63" 0.36207101685516 0.763582362348641 0.834991596067978
"64" 0.496114924173488 0.741260357245535 0.871412227707485
"65" 0.480885442583996 0.821230581970537 0.812364956001876
"66" 0.821202040838156 0.948073410454901 0.986598879940902
"67" 1 1 0.986598879940902
"68" 0.720276887355459 0.948073410454901 0.753145394054967
"69" 0.406647292537205 0.973333124730886 0.973333124730886
"70" 1 1 1
"71" 0.275435735883107 1 0.986598879940902
"72" 0.302479223961644 0.986598879940902 0.986598879940902
"73" 0.567561304103958 0.935186954301571 0.834448789572961
"74" 0.908986996394872 0.986598879940902 0.948073410454901
"75" 1 1 1
"76" 0.540541491614094 0.574349727139321 0.862680152205201
"77" 0.513394382696269 0.935807541467887 0.720546443112698
"78" 0.973199601143244 0.986598879940902 1
"79" 0.973466666666667 0.986598879940902 0.960338099219033
"80" 0.684637866788496 0.960354441775282 0.679760699018627
"81" 0.840178378718507 0.986598879940902 0.986598879940902
"82" 0.359459400570866 0.46828585338056 0.754312798916537
"83" 0.347248527340784 0.986598879940902 1
"84" 0.448241646962195 1 0.986598879940902
"85" 0.355455311322116 0.363355885953815 0.599798011724544
"86" 0.821009430761193 0.986598879940902 0.900392001109899
"87" 0.33892937385689 0.948073410454901 1
"88" 0.655998798386062 0.986598879940902 1
"89" 0.484576661114776 0.487335216663541 0.800662357489434
"90" 1 0.946830837257777 0.960608828917197
"91" 0.811895024200707 0.986598879940902 1
"92" 0.877709504722514 0.973199601143244 0.986598879940902
"93" 0.669134105169769 0.923837365536673 0.960343548234616
"94" 0.648206058126313 0.960630467282476 0.692364070028273
"95" 0.935807541467887 1 1
"96" 0.256041816664458 0.599180350573583 0.815548400039442
"97" 0.376477444878159 0.64943581725745 0.97347395681731
"98" 0.643158099085284 0.986598879940902 0.959813205485525
"99" 0.97347395681731 0.947079615562234 1
"100" 0.370686243875241 0.920725216008049 0.661076832188982
