"KML3D" "longTAPIO_sample" "longTAPIO_trajectories"
"1" 1 0.934898452903925 0.923732821605636
"2" 0.947079615562234 0.820912236313265 0.908395757958587
"3" 1 0.896872493331966 0.946845436694979
"4" 0.973336788403479 0.908911972566199 0.934969927013647
"5" 0.986598879940902 0.986598879940902 0.96006736952087
"6" 1 1 0.920628082708836
"7" 0.947635388965987 0.933310946624694 0.909527935495051
"8" 0.986598879940902 0.97347395681731 0.973336788403479
"9" 0.986598879940902 0.960338099219033 0.973333124730886
"10" 1 0.947489261454675 1
"11" 0.986598879940902 0.960608828917197 0.986598879940902
"12" 1 0.986598879940902 0.93469056890693
"13" 0.960630467282476 0.909701473809012 0.959813205485525
"14" 0.973336788403479 0.897921541283558 0.922987982749134
"15" 0.986598879940902 0.960072855731098 0.97347395681731
"16" 0.986598879940902 0.886449122868768 0.973466666666667
"17" 0.97347395681731 0.847154377684589 0.948073410454901
"18" 0.973466666666667 0.948073410454901 0.909835536616895
"19" 0.960338099219033 0.908112519168585 0.907596595030692
"20" 1 0.973333124730886 0.973466666666667
"21" 0.973466666666667 0.986598879940902 1
"22" 0.973336788403479 0.959807685114977 0.973466666666667
"23" 0.986598879940902 0.948073410454901 0.960608828917197
"24" 0.948016326530612 0.973466666666667 0.960608828917197
"25" 1 0.93469056890693 0.947086885117698
"26" 0.97347395681731 0.95980216322758 0.933833863577177
"27" 0.935807541467887 0.960608828917197 0.986598879940902
"28" 0.97347395681731 0.923732821605636 0.921784960061257
"29" 0.973466666666667 0.947079615562234 0.859451761855459
"30" 0.986598879940902 0.947656956745438 0.973199601143244
"31" 0.960338099219033 0.973333124730886 0.973066095899961
"32" 1 0.960630467282476 0.959934757264648
"33" 1 0.874774884243153 0.960354441775282
"34" 0.973199601143244 0.91132117831468 0.934627760400407
"35" 0.973466666666667 0.948016326530612 0.948073410454901
"36" 0.986598879940902 0.934916336156692 0.874263245313718
"37" 1 1 0.935213649305076
"38" 0.986598879940902 1 0.947635388965987
"39" 0.986598879940902 0.935701696686146 0.948073410454901
"40" 0.973333124730886 0.986598879940902 0.96006736952087
"41" 0.973333124730886 0.947204081632653 0.921958821814257
"42" 0.986598879940902 0.885154145404392 0.873756635414124
"43" 1 0.986598879940902 0.935807541467887
"44" 0.960078340434069 0.87388980335695 0.934357067896889
"45" 0.986598879940902 0.973199601143244 0.973199601143244
"46" 0.986598879940902 0.973466666666667 0.886901645722527
"47" 1 0.973466666666667 1
"48" 1 0.973333124730886 0.934969927013647
"49" 0.986598879940902 0.886283164494261 0.898650438060988
"50" 1 0.986598879940902 0.948073410454901
