"longTAPIO_sample" "longTAPIO_trajectories" "KML"
"1" 0.97993200471804 1 1
"2" 1 1 1
"3" 1 1 1
"4" 1 1 1
"5" 0.97993200471804 1 1
"6" 0.97993200471804 1 1
"7" 1 1 1
"8" 1 1 1
"9" 1 1 1
"10" 1 1 1
"11" 1 1 1
"12" 0.97993200471804 1 1
"13" 1 1 1
"14" 1 1 1
"15" 1 1 1
"16" 1 1 1
"17" 1 1 1
"18" 0.97993200471804 1 0.97993200471804
"19" 0.97993200471804 1 1
"20" 1 1 1
"21" 0.97993200471804 1 0.97993200471804
"22" 0.97993200471804 1 1
"23" 1 1 1
"24" 1 1 1
"25" 1 1 1
"26" 1 1 1
"27" 1 1 1
"28" 1 1 1
"29" 1 1 1
"30" 0.960277691633887 1 0.97993200471804
"31" 1 1 1
"32" 0.97993200471804 1 0.97993200471804
"33" 1 1 1
"34" 1 1 1
"35" 0.97993200471804 1 0.97993200471804
"36" 1 1 1
"37" 1 1 1
"38" 1 1 1
"39" 1 1 1
"40" 1 1 1
"41" 1 1 1
"42" 1 1 1
"43" 1 1 1
"44" 0.851456931395815 1 1
"45" 1 1 1
"46" 1 1 1
"47" 0.941044980073668 1 1
"48" 0.97993200471804 1 0.97993200471804
"49" 0.960277691633887 1 1
"50" 0.97993200471804 1 1
