"Visit","ARI","NMI","Agreement"
1,0.181912085389648,0.14327450949336,0.727272727272727
2,0.468660149511213,0.372781900379901,0.848484848484849
3,0.764854614412137,0.697095448400951,0.939393939393939
4,0.878704341833218,0.818296624244778,0.96969696969697
5,1,1,1
