"run","visit","n_train","n_test","ARI","NMI","fitting_seconds","importance_seconds"
1,1,140,60,0.38352983669152,0.43419900983718,1.43399999999383,22.5209999999934
1,2,140,60,0.443902059044998,0.513346280945999,1.43399999999383,22.5209999999934
1,3,140,60,0.615586645790191,0.672742132943338,1.43399999999383,22.5209999999934
1,4,140,60,0.643825950607605,0.683572500510722,1.43399999999383,22.5209999999934
1,5,140,60,0.789458380693082,0.796733947812838,1.43399999999383,22.5209999999934
1,6,140,60,0.954772541037773,0.955027991117731,1.43399999999383,22.5209999999934
1,7,140,60,0.912592592592593,0.911660166244645,1.43399999999383,22.5209999999934
1,8,140,60,0.954772541037773,0.955027991117731,1.43399999999383,22.5209999999934
1,9,140,60,0.954772541037773,0.955027991117731,1.43399999999383,22.5209999999934
1,10,140,60,0.954772541037773,0.955027991117731,1.43399999999383,22.5209999999934
2,1,140,60,0.397673663979233,0.481150678801402,1.51600000000326,22.4700000000012
2,2,140,60,0.42099186565206,0.488820717154131,1.51600000000326,22.4700000000012
2,3,140,60,0.581409148370785,0.620040043497254,1.51600000000326,22.4700000000012
2,4,140,60,0.834751197549931,0.857524627870478,1.51600000000326,22.4700000000012
2,5,140,60,0.834751197549931,0.857524627870478,1.51600000000326,22.4700000000012
2,6,140,60,0.911250098962869,0.910055982235463,1.51600000000326,22.4700000000012
2,7,140,60,0.823510889530307,0.834567232019116,1.51600000000326,22.4700000000012
2,8,140,60,0.823510889530307,0.834567232019116,1.51600000000326,22.4700000000012
2,9,140,60,0.912878388355659,0.925970755273933,1.51600000000326,22.4700000000012
2,10,140,60,0.912878388355659,0.925970755273933,1.51600000000326,22.4700000000012
3,1,140,60,0.484530784253263,0.521821962477402,1.25999999999476,22.5090000000055
3,2,140,60,0.493627299825265,0.5361371776453,1.25999999999476,22.5090000000055
3,3,140,60,0.787730770240815,0.808631072439764,1.25999999999476,22.5090000000055
3,4,140,60,0.909619143204268,0.910055982235463,1.25999999999476,22.5090000000055
3,5,140,60,0.954772541037773,0.955027991117731,1.25999999999476,22.5090000000055
3,6,140,60,0.954772541037773,0.955027991117731,1.25999999999476,22.5090000000055
3,7,140,60,0.954772541037773,0.955027991117731,1.25999999999476,22.5090000000055
3,8,140,60,1,1,1.25999999999476,22.5090000000055
3,9,140,60,1,1,1.25999999999476,22.5090000000055
3,10,140,60,1,1,1.25999999999476,22.5090000000055
4,1,140,60,0.301371211934714,0.390671537676969,1.27399999999034,22.7020000000048
4,2,140,60,0.377732547381777,0.440886800584993,1.27399999999034,22.7020000000048
4,3,140,60,0.870767687963476,0.882552732024452,1.27399999999034,22.7020000000048
4,4,140,60,0.912878388355659,0.925970755273933,1.27399999999034,22.7020000000048
4,5,140,60,1,1,1.27399999999034,22.7020000000048
4,6,140,60,1,1,1.27399999999034,22.7020000000048
4,7,140,60,1,1,1.27399999999034,22.7020000000048
4,8,140,60,1,1,1.27399999999034,22.7020000000048
4,9,140,60,1,1,1.27399999999034,22.7020000000048
4,10,140,60,1,1,1.27399999999034,22.7020000000048
5,1,140,60,0.421758081177093,0.510453694506105,1.30399999998917,22.7200000000012
5,2,140,60,0.622216461438756,0.641143340321418,1.30399999998917,22.7200000000012
5,3,140,60,0.761780718434968,0.794673412630973,1.30399999998917,22.7200000000012
5,4,140,60,0.911250098962869,0.910055982235463,1.30399999998917,22.7200000000012
5,5,140,60,1,1,1.30399999998917,22.7200000000012
5,6,140,60,1,1,1.30399999998917,22.7200000000012
5,7,140,60,1,1,1.30399999998917,22.7200000000012
5,8,140,60,1,1,1.30399999998917,22.7200000000012
