"run","visit","n_train","n_test","ARI","NMI","fitting_seconds","importance_seconds"
5,9,140,60,1,1,1.30399999998917,22.7200000000012
5,10,140,60,1,1,1.30399999998917,22.7200000000012
6,1,140,60,0.369082965215922,0.461621330495734,1.63200000001234,22.3219999999856
6,2,140,60,0.549688712912553,0.626764020525167,1.63200000001234,22.3219999999856
6,3,140,60,0.771371355751476,0.823377879682858,1.63200000001234,22.3219999999856
6,4,140,60,0.870767687963476,0.882552732024452,1.63200000001234,22.3219999999856
6,5,140,60,0.912878388355659,0.925970755273933,1.63200000001234,22.3219999999856
6,6,140,60,0.954772541037773,0.955027991117731,1.63200000001234,22.3219999999856
6,7,140,60,1,1,1.63200000001234,22.3219999999856
6,8,140,60,1,1,1.63200000001234,22.3219999999856
6,9,140,60,1,1,1.63200000001234,22.3219999999856
6,10,140,60,1,1,1.63200000001234,22.3219999999856
7,1,140,60,0.312115287131581,0.381499378634456,1.3579999999929,22.4840000000113
7,2,140,60,0.479281517716179,0.528114237577911,1.3579999999929,22.4840000000113
7,3,140,60,0.508107002199376,0.562859518093916,1.3579999999929,22.4840000000113
7,4,140,60,0.758662549811311,0.792419305304911,1.3579999999929,22.4840000000113
7,5,140,60,0.954772541037773,0.955027991117731,1.3579999999929,22.4840000000113
7,6,140,60,1,1,1.3579999999929,22.4840000000113
7,7,140,60,1,1,1.3579999999929,22.4840000000113
7,8,140,60,1,1,1.3579999999929,22.4840000000113
7,9,140,60,1,1,1.3579999999929,22.4840000000113
7,10,140,60,1,1,1.3579999999929,22.4840000000113
8,1,140,60,0.329680273476775,0.430429737701933,1.25800000000163,22.5
8,2,140,60,0.541208291071754,0.606191530642664,1.25800000000163,22.5
8,3,140,60,0.749320454965297,0.752795242786882,1.25800000000163,22.5
8,4,140,60,0.796965430940091,0.81255261898821,1.25800000000163,22.5
8,5,140,60,0.911250098962869,0.910055982235463,1.25800000000163,22.5
8,6,140,60,0.911250098962869,0.910055982235463,1.25800000000163,22.5
8,7,140,60,0.912878388355659,0.925970755273933,1.25800000000163,22.5
8,8,140,60,0.954772541037773,0.955027991117731,1.25800000000163,22.5
8,9,140,60,0.911250098962869,0.910055982235463,1.25800000000163,22.5
8,10,140,60,0.912878388355659,0.925970755273933,1.25800000000163,22.5
9,1,140,60,0.414919641213142,0.475475870828563,1.50199999999313,22.4729999999981
9,2,140,60,0.517844212268542,0.583373489725175,1.50199999999313,22.4729999999981
9,3,140,60,0.582678403017919,0.625025089433422,1.50199999999313,22.4729999999981
9,4,140,60,0.715995475708236,0.730924185349206,1.50199999999313,22.4729999999981
9,5,140,60,0.864981455664571,0.879539240901384,1.50199999999313,22.4729999999981
9,6,140,60,0.823510889530307,0.834567232019116,1.50199999999313,22.4729999999981
9,7,140,60,0.908136067347531,0.909304088607267,1.50199999999313,22.4729999999981
9,8,140,60,0.864760901067053,0.864332079724998,1.50199999999313,22.4729999999981
9,9,140,60,0.954772541037773,0.955027991117731,1.50199999999313,22.4729999999981
9,10,140,60,0.864981455664571,0.879539240901384,1.50199999999313,22.4729999999981
10,1,140,60,0.41997414192667,0.508398735643377,1.26999999998952,22.5130000000063
10,2,140,60,0.608722790044472,0.652420783795444,1.26999999998952,22.5130000000063
10,3,140,60,0.686490589744261,0.713290204338549,1.26999999998952,22.5130000000063
10,4,140,60,0.755147894583807,0.771015895086335,1.26999999998952,22.5130000000063
10,5,140,60,0.864981455664571,0.879539240901384,1.26999999998952,22.5130000000063
10,6,140,60,0.864981455664571,0.879539240901384,1.26999999998952,22.5130000000063
10,7,140,60,0.867436758214163,0.866688157362376,1.26999999998952,22.5130000000063
10,8,140,60,0.908136067347531,0.909304088607267,1.26999999998952,22.5130000000063
10,9,140,60,0.908136067347531,0.909304088607267,1.26999999998952,22.5130000000063
10,10,140,60,0.908136067347531,0.909304088607267,1.26999999998952,22.5130000000063
11,1,140,60,0.428892764172164,0.491787489601903,1.5049999999901,22.4610000000102
11,2,140,60,0.517844212268542,0.582353281084895,1.5049999999901,22.4610000000102
11,3,140,60,0.743092391734621,0.735202857405282,1.5049999999901,22.4610000000102
11,4,140,60,0.870555893315006,0.867547636131952,1.5049999999901,22.4610000000102
11,5,140,60,0.911250098962869,0.910055982235463,1.5049999999901,22.4610000000102
11,6,140,60,0.954772541037773,0.955027991117731,1.5049999999901,22.4610000000102
11,7,140,60,0.954772541037773,0.955027991117731,1.5049999999901,22.4610000000102
11,8,140,60,0.954772541037773,0.955027991117731,1.5049999999901,22.4610000000102
11,9,140,60,0.954772541037773,0.955027991117731,1.5049999999901,22.4610000000102
11,10,140,60,0.954772541037773,0.955027991117731,1.5049999999901,22.4610000000102
12,1,140,60,0.367153647621528,0.436710298344046,1.35599999999977,22.5349999999889
12,2,140,60,0.393892485223755,0.471430577489874,1.35599999999977,22.5349999999889
12,3,140,60,0.866206096403333,0.865134171729589,1.35599999999977,22.5349999999889
12,4,140,60,0.954772541037773,0.955027991117731,1.35599999999977,22.5349999999889
12,5,140,60,0.954772541037773,0.955027991117731,1.35599999999977,22.5349999999889
12,6,140,60,1,1,1.35599999999977,22.5349999999889
12,7,140,60,1,1,1.35599999999977,22.5349999999889
12,8,140,60,1,1,1.35599999999977,22.5349999999889
12,9,140,60,1,1,1.35599999999977,22.5349999999889
12,10,140,60,1,1,1.35599999999977,22.5349999999889
13,1,140,60,0.244514889049747,0.324500851521883,1.22000000000116,22.4539999999979
13,2,140,60,0.306059446357954,0.351156644344243,1.22000000000116,22.4539999999979
13,3,140,60,0.503447733410241,0.525713877791604,1.22000000000116,22.4539999999979
13,4,140,60,0.870767687963476,0.882552732024452,1.22000000000116,22.4539999999979
13,5,140,60,0.871189204829418,0.880998746391665,1.22000000000116,22.4539999999979
13,6,140,60,0.954772541037773,0.955027991117731,1.22000000000116,22.4539999999979
13,7,140,60,0.954772541037773,0.955027991117731,1.22000000000116,22.4539999999979
13,8,140,60,1,1,1.22000000000116,22.4539999999979
13,9,140,60,1,1,1.22000000000116,22.4539999999979
13,10,140,60,1,1,1.22000000000116,22.4539999999979
14,1,140,60,0.262187055387764,0.351057677572077,1.49400000000605,22.4259999999922
14,2,140,60,0.416204735015283,0.479355841877933,1.49400000000605,22.4259999999922
14,3,140,60,0.706683851960965,0.707289447129266,1.49400000000605,22.4259999999922
14,4,140,60,0.824057213733407,0.821716148480108,1.49400000000605,22.4259999999922
14,5,140,60,0.954772541037773,0.955027991117731,1.49400000000605,22.4259999999922
14,6,140,60,1,1,1.49400000000605,22.4259999999922
14,7,140,60,1,1,1.49400000000605,22.4259999999922
14,8,140,60,1,1,1.49400000000605,22.4259999999922
14,9,140,60,1,1,1.49400000000605,22.4259999999922
14,10,140,60,1,1,1.49400000000605,22.4259999999922
15,1,140,60,0.310380062305296,0.403327145794754,1.27999999999884,22.4820000000036
15,2,140,60,0.476997132861615,0.530584170786173,1.27999999999884,22.4820000000036
15,3,140,60,0.718640495323409,0.743085320315686,1.27999999999884,22.4820000000036
15,4,140,60,0.833399308579421,0.840168012631282,1.27999999999884,22.4820000000036
15,5,140,60,0.954772541037773,0.955027991117731,1.27999999999884,22.4820000000036
15,6,140,60,1,1,1.27999999999884,22.4820000000036
15,7,140,60,1,1,1.27999999999884,22.4820000000036
15,8,140,60,1,1,1.27999999999884,22.4820000000036
15,9,140,60,1,1,1.27999999999884,22.4820000000036
15,10,140,60,0.954772541037773,0.955027991117731,1.27999999999884,22.4820000000036
16,1,140,60,0.274950867804797,0.340265733105429,1.29799999999523,22.4550000000017
16,2,140,60,0.392228828696567,0.492922791275367,1.29799999999523,22.4550000000017
16,3,140,60,0.587497742576301,0.691853825420717,1.29799999999523,22.4550000000017
16,4,140,60,0.771371355751476,0.824499755455672,1.29799999999523,22.4550000000017
16,5,140,60,0.780223501523874,0.824330704487867,1.29799999999523,22.4550000000017
16,6,140,60,0.820706276852143,0.849106134822497,1.29799999999523,22.4550000000017
16,7,140,60,0.864760901067053,0.864332079724998,1.29799999999523,22.4550000000017
16,8,140,60,0.908136067347531,0.909304088607267,1.29799999999523,22.4550000000017
16,9,140,60,1,1,1.29799999999523,22.4550000000017
16,10,140,60,0.911250098962869,0.910055982235463,1.29799999999523,22.4550000000017
17,1,140,60,0.434293852844681,0.492331732791356,1.44199999999546,22.5740000000078
17,2,140,60,0.697719175053965,0.752407888083226,1.44199999999546,22.5740000000078
17,3,140,60,0.743751787989909,0.784294913550417,1.44199999999546,22.5740000000078
17,4,140,60,0.874497754667927,0.902496636752747,1.44199999999546,22.5740000000078
17,5,140,60,0.867869845870109,0.880998746391665,1.44199999999546,22.5740000000078
17,6,140,60,0.954772541037773,0.955027991117731,1.44199999999546,22.5740000000078
17,7,140,60,1,1,1.44199999999546,22.5740000000078
17,8,140,60,1,1,1.44199999999546,22.5740000000078
17,9,140,60,1,1,1.44199999999546,22.5740000000078
17,10,140,60,1,1,1.44199999999546,22.5740000000078
18,1,140,60,0.266075713795974,0.365636057331687,1.20600000000559,22.653999999995
18,2,140,60,0.498244518998206,0.559951384691615,1.20600000000559,22.653999999995
18,3,140,60,0.559870799046374,0.626687903784055,1.20600000000559,22.653999999995
18,4,140,60,0.738999555008769,0.786680979733624,1.20600000000559,22.653999999995
18,5,140,60,0.833942709840335,0.860111917359577,1.20600000000559,22.653999999995
18,6,140,60,0.911104649625968,0.910858074240054,1.20600000000559,22.653999999995
18,7,140,60,0.911104649625968,0.910858074240054,1.20600000000559,22.653999999995
18,8,140,60,0.954772541037773,0.955027991117731,1.20600000000559,22.653999999995
18,9,140,60,0.911250098962869,0.910055982235463,1.20600000000559,22.653999999995
18,10,140,60,0.954772541037773,0.955027991117731,1.20600000000559,22.653999999995
19,1,140,60,0.402452025586354,0.482368940652183,1.54899999999907,22.5800000000017
19,2,140,60,0.491017964071856,0.558496118371619,1.54899999999907,22.5800000000017
19,3,140,60,0.551412020275163,0.626411251733253,1.54899999999907,22.5800000000017
19,4,140,60,0.870555893315006,0.867547636131952,1.54899999999907,22.5800000000017
19,5,140,60,0.954772541037773,0.955027991117731,1.54899999999907,22.5800000000017
19,6,140,60,0.954772541037773,0.955027991117731,1.54899999999907,22.5800000000017
19,7,140,60,0.871189204829418,0.880998746391665,1.54899999999907,22.5800000000017
19,8,140,60,1,1,1.54899999999907,22.5800000000017
19,9,140,60,0.954772541037773,0.955027991117731,1.54899999999907,22.5800000000017
19,10,140,60,0.954772541037773,0.955027991117731,1.54899999999907,22.5800000000017
20,1,140,60,0.256615457901632,0.335915521154372,1.29700000000594,22.929999999993
20,2,140,60,0.462697022767075,0.525726400250619,1.29700000000594,22.929999999993
20,3,140,60,0.696741200720119,0.716603869850165,1.29700000000594,22.929999999993
20,4,140,60,0.732363522602847,0.758062870528402,1.29700000000594,22.929999999993
20,5,140,60,0.833071361207168,0.851941510547866,1.29700000000594,22.929999999993
20,6,140,60,0.954772541037773,0.955027991117731,1.29700000000594,22.929999999993
20,7,140,60,1,1,1.29700000000594,22.929999999993
20,8,140,60,1,1,1.29700000000594,22.929999999993
20,9,140,60,1,1,1.29700000000594,22.929999999993
20,10,140,60,1,1,1.29700000000594,22.929999999993
21,1,140,60,0.299505300353357,0.39239523025982,1.36999999999534,22.4460000000108
21,2,140,60,0.377328597347507,0.458647928480884,1.36999999999534,22.4460000000108
21,3,140,60,0.637215316813132,0.676876406908497,1.36999999999534,22.4460000000108
21,4,140,60,0.870767687963476,0.882660317165831,1.36999999999534,22.4460000000108
21,5,140,60,0.870767687963476,0.882660317165831,1.36999999999534,22.4460000000108
21,6,140,60,1,1,1.36999999999534,22.4460000000108
21,7,140,60,1,1,1.36999999999534,22.4460000000108
21,8,140,60,1,1,1.36999999999534,22.4460000000108
21,9,140,60,1,1,1.36999999999534,22.4460000000108
21,10,140,60,1,1,1.36999999999534,22.4460000000108
22,1,140,60,0.36432044171899,0.404903849758099,1.36000000000058,22.6100000000006
22,2,140,60,0.565759017970924,0.606708359288526,1.36000000000058,22.6100000000006
22,3,140,60,0.792884837053338,0.814062322854884,1.36000000000058,22.6100000000006
22,4,140,60,0.805054056197299,0.838143207815376,1.36000000000058,22.6100000000006
22,5,140,60,0.912592592592593,0.911660166244645,1.36000000000058,22.6100000000006
22,6,140,60,0.954772541037773,0.955027991117731,1.36000000000058,22.6100000000006
22,7,140,60,0.873675028415849,0.884214302798618,1.36000000000058,22.6100000000006
22,8,140,60,0.912592592592593,0.911660166244645,1.36000000000058,22.6100000000006
22,9,140,60,0.954772541037773,0.955027991117731,1.36000000000058,22.6100000000006
22,10,140,60,0.954772541037773,0.955027991117731,1.36000000000058,22.6100000000006
23,1,140,60,0.267233020915093,0.316209941538224,1.61099999998987,22.872000000003
23,2,140,60,0.461131920570578,0.500539720725809,1.61099999998987,22.872000000003
23,3,140,60,0.800774808261131,0.840397315141438,1.61099999998987,22.872000000003
23,4,140,60,0.954772541037773,0.955027991117731,1.61099999998987,22.872000000003
23,5,140,60,0.912878388355659,0.925970755273933,1.61099999998987,22.872000000003
23,6,140,60,0.912878388355659,0.925970755273933,1.61099999998987,22.872000000003
23,7,140,60,0.912878388355659,0.925970755273933,1.61099999998987,22.872000000003
23,8,140,60,1,1,1.61099999998987,22.872000000003
23,9,140,60,1,1,1.61099999998987,22.872000000003
23,10,140,60,0.954772541037773,0.955027991117731,1.61099999998987,22.872000000003
24,1,140,60,0.445567102060048,0.514339080881726,1.36299999999756,22.6940000000031
24,2,140,60,0.582528868664019,0.655002100258851,1.36299999999756,22.6940000000031
24,3,140,60,0.701934403057352,0.760037208292189,1.36299999999756,22.6940000000031
24,4,140,60,0.911104649625968,0.910858074240054,1.36299999999756,22.6940000000031
24,5,140,60,0.911250098962869,0.910055982235463,1.36299999999756,22.6940000000031
24,6,140,60,1,1,1.36299999999756,22.6940000000031
24,7,140,60,1,1,1.36299999999756,22.6940000000031
24,8,140,60,1,1,1.36299999999756,22.6940000000031
24,9,140,60,1,1,1.36299999999756,22.6940000000031
24,10,140,60,1,1,1.36299999999756,22.6940000000031
25,1,140,60,0.484562540505509,0.527165706960034,1.35999999998603,22.7100000000064
25,2,140,60,0.530050687907314,0.607785707234416,1.35999999998603,22.7100000000064
25,3,140,60,0.664142469187382,0.70245232887936,1.35999999998603,22.7100000000064
25,4,140,60,0.871189204829418,0.880998746391665,1.35999999998603,22.7100000000064
25,5,140,60,0.912878388355659,0.925970755273933,1.35999999998603,22.7100000000064
25,6,140,60,0.912878388355659,0.925970755273933,1.35999999998603,22.7100000000064
25,7,140,60,0.912878388355659,0.925970755273933,1.35999999998603,22.7100000000064
25,8,140,60,1,1,1.35999999998603,22.7100000000064
25,9,140,60,0.954772541037773,0.955027991117731,1.35999999998603,22.7100000000064
25,10,140,60,0.954772541037773,0.955027991117731,1.35999999998603,22.7100000000064
26,1,140,60,0.24228969731691,0.374454194222979,1.28199999999197,22.81700000001
26,2,140,60,0.452300414557847,0.520677313921484,1.28199999999197,22.81700000001
26,3,140,60,0.66012573322461,0.707702460921936,1.28199999999197,22.81700000001
26,4,140,60,0.683143021012566,0.7263939616969,1.28199999999197,22.81700000001
26,5,140,60,0.864981455664571,0.879539240901384,1.28199999999197,22.81700000001
26,6,140,60,0.954772541037773,0.955027991117731,1.28199999999197,22.81700000001
26,7,140,60,0.954772541037773,0.955027991117731,1.28199999999197,22.81700000001
26,8,140,60,0.954772541037773,0.955027991117731,1.28199999999197,22.81700000001
26,9,140,60,0.954772541037773,0.955027991117731,1.28199999999197,22.81700000001
26,10,140,60,1,1,1.28199999999197,22.81700000001
27,1,140,60,0.264266488875719,0.337083685551054,1.47000000000116,22.9089999999997
27,2,140,60,0.325569658583361,0.420297807714531,1.47000000000116,22.9089999999997
27,3,140,60,0.56972173373332,0.658639410181041,1.47000000000116,22.9089999999997
27,4,140,60,0.666333482389457,0.715244600815793,1.47000000000116,22.9089999999997
27,5,140,60,0.871189204829418,0.880998746391665,1.47000000000116,22.9089999999997
27,6,140,60,0.954772541037773,0.955027991117731,1.47000000000116,22.9089999999997
27,7,140,60,0.954772541037773,0.955027991117731,1.47000000000116,22.9089999999997
27,8,140,60,0.954772541037773,0.955027991117731,1.47000000000116,22.9089999999997
27,9,140,60,0.954772541037773,0.955027991117731,1.47000000000116,22.9089999999997
27,10,140,60,0.954772541037773,0.955027991117731,1.47000000000116,22.9089999999997
28,1,140,60,0.426842902929265,0.51328827276588,1.36999999999534,22.6689999999944
28,2,140,60,0.502257423699079,0.556937970252196,1.36999999999534,22.6689999999944
28,3,140,60,0.636998800771677,0.670741672550805,1.36999999999534,22.6689999999944
28,4,140,60,0.871189204829418,0.880998746391665,1.36999999999534,22.6689999999944
28,5,140,60,1,1,1.36999999999534,22.6689999999944
28,6,140,60,1,1,1.36999999999534,22.6689999999944
28,7,140,60,1,1,1.36999999999534,22.6689999999944
28,8,140,60,1,1,1.36999999999534,22.6689999999944
28,9,140,60,1,1,1.36999999999534,22.6689999999944
28,10,140,60,1,1,1.36999999999534,22.6689999999944
29,1,140,60,0.393530329675773,0.467308831790564,1.34199999998964,22.666000000012
29,2,140,60,0.560366102019791,0.619705775464782,1.34199999998964,22.666000000012
29,3,140,60,0.755633124072,0.784297475149002,1.34199999998964,22.666000000012
29,4,140,60,0.908136067347531,0.909304088607267,1.34199999998964,22.666000000012
29,5,140,60,0.954772541037773,0.955027991117731,1.34199999998964,22.666000000012
29,6,140,60,1,1,1.34199999998964,22.666000000012
29,7,140,60,1,1,1.34199999998964,22.666000000012
29,8,140,60,1,1,1.34199999998964,22.666000000012
29,9,140,60,1,1,1.34199999998964,22.666000000012
29,10,140,60,1,1,1.34199999998964,22.666000000012
30,1,140,60,0.484994843156491,0.559567967246324,1.29300000000512,22.9250000000029
30,2,140,60,0.509414410999065,0.542321932359509,1.29300000000512,22.9250000000029
30,3,140,60,0.652514200455462,0.69986790944236,1.29300000000512,22.9250000000029
30,4,140,60,0.912878388355659,0.925970755273933,1.29300000000512,22.9250000000029
30,5,140,60,0.911250098962869,0.910055982235463,1.29300000000512,22.9250000000029
30,6,140,60,0.954772541037773,0.955027991117731,1.29300000000512,22.9250000000029
30,7,140,60,0.911104649625968,0.910858074240054,1.29300000000512,22.9250000000029
30,8,140,60,0.954772541037773,0.955027991117731,1.29300000000512,22.9250000000029
30,9,140,60,1,1,1.29300000000512,22.9250000000029
30,10,140,60,1,1,1.29300000000512,22.9250000000029
