"visit","mean_ARI","sd_ARI","se_ARI","mean_NMI","sd_NMI","lower_ARI","upper_ARI"
1,0.358508829699233,0.0783802489244545,0.0143102101329312,0.434211338181584,0.0714654942900915,0.280128580774779,0.436889078623688
2,0.485827612699689,0.0878842853258019,0.016045401841054,0.547006936429158,0.0818934109872952,0.397943327373887,0.57371189802549
3,0.68215107741828,0.0995337030522866,0.0181722847979194,0.719777975896765,0.0866494909377142,0.582617374365993,0.781684780470567
4,0.830192428241698,0.0858794919991803,0.0156793783316785,0.846951515779444,0.0735120538082318,0.744312936242517,0.916071920240878
5,0.904234780069199,0.0582849056527179,0.010641319196018,0.912330309531867,0.0504919398609373,0.845949874416482,0.962519685721917
6,0.950861024625444,0.0499888214092609,0.00912666836964979,0.953548668347154,0.0452092987531173,0.900872203216183,1
7,0.94853362038349,0.0541325162134452,0.00988320007487269,0.950884438101308,0.0516015709749411,0.894401104170045,1
8,0.970018143504981,0.0459787615331852,0.00839453495262545,0.970478786434247,0.0447373629996481,0.924039381971796,1
9,0.976056499397704,0.0326674439469362,0.00596423198192418,0.976520357909799,0.0319088005178023,0.943389055450768,1
10,0.970102575600875,0.0377468485227246,0.00689160013687562,0.971536424745052,0.0350783399443861,0.93235572707815,1
