"scenario","run","P","P_signal","P_selected","signals_retained","false_positives","signal_mass","enrichment"
"nuisance50",1,50,5,5,5,0,0.408414889078663,6.21336462640746
"nuisance50",2,50,5,5,5,0,0.396073803513053,5.90248320465847
"nuisance50",3,50,5,5,5,0,0.330949175543637,4.45189284732284
"nuisance50",4,50,5,5,5,0,0.347517105237939,4.79346504291428
"nuisance50",5,50,5,5,5,0,0.352485267605141,4.89929765260033
"nuisance50",6,50,5,5,5,0,0.411212237547722,6.28564378192127
"nuisance50",7,50,5,5,5,0,0.393356948160948,5.83574232444646
"nuisance50",8,50,5,5,5,0,0.390011804705906,5.75438388715182
"nuisance50",9,50,5,5,5,0,0.359147113590685,5.04378476069104
"nuisance50",10,50,5,5,5,0,0.405343196547724,6.13478017530543
"nuisance50",11,50,5,5,5,0,0.371533028133339,5.32056162516921
"nuisance50",12,50,5,5,5,0,0.373379516480598,5.36276061301359
"nuisance50",13,50,5,5,5,0,0.3616122377921,5.09801461242457
"nuisance50",14,50,5,5,5,0,0.406446663672136,6.1629170441199
"nuisance50",15,50,5,5,5,0,0.42634418818149,6.68885002920072
"nuisance50",16,50,5,5,5,0,0.416851641708505,6.43346538155084
"nuisance50",17,50,5,5,5,0,0.346961008356128,4.78171918547256
"nuisance50",18,50,5,5,5,0,0.408912453786428,6.22617090759703
"nuisance50",19,50,5,5,5,0,0.378780513991217,5.48763311953283
"nuisance50",20,50,5,5,5,0,0.409635263937595,6.24481299480708
"nuisance50",21,50,5,5,5,0,0.367961986184161,5.23964983635049
"nuisance50",22,50,5,5,5,0,0.385879066568181,5.65509398890927
"nuisance50",23,50,5,5,5,0,0.401112399951481,6.02786165429183
"nuisance50",24,50,5,5,5,0,0.376283114557805,5.42962377653011
"nuisance50",25,50,5,5,5,0,0.39511560382243,5.8788761238899
"nuisance50",26,50,5,5,5,0,0.410305855921853,6.26214918425119
"nuisance50",27,50,5,5,5,0,0.335640504954799,4.54688247420572
"nuisance50",28,50,5,5,5,0,0.387620030184086,5.69675764004082
"nuisance50",29,50,5,5,5,0,0.463461691143489,7.77419832179572
"nuisance50",30,50,5,5,5,0,0.405227956786496,6.13184774350481
"nuisance100",1,100,5,5,5,0,0.207116027357881,4.96315306599841
"nuisance100",2,100,5,5,5,0,0.230382749126153,5.68759630638064
"nuisance100",3,100,5,5,5,0,0.210012403914737,5.05101054010643
"nuisance100",4,100,5,5,5,0,0.165596227306068,3.77075035106461
"nuisance100",5,100,5,5,5,0,0.211627826617722,5.10029252870013
