"scenario","run","method","ARI","NMI","seconds"
"nuisance50",1,"longTAPIO-random_weighted",0.650754900513612,0.716448349492705,1.78699999999662
"nuisance50",1,"longTAPIO-random_weighted_95",0.745961750467334,0.723498549664443,1.85399999999208
"nuisance50",1,"longTAPIO-first",0.740291858678955,0.806962429797348,1.70400000001246
"nuisance50",1,"longTAPIO-screened",0.740291858678955,0.806962429797348,4.27400000001944
"nuisance50",1,"clusterMLD",0.983226974646172,0.978804661269229,1.60699999998906
"nuisance50",1,"kml3d",0.490021161917901,0.546036195899173,2.00100000000384
"nuisance50",2,"longTAPIO-random_weighted",0.950540890175864,0.942776706101372,1.73799999999756
"nuisance50",2,"longTAPIO-random_weighted_95",0.88578592772397,0.865043080057057,1.89699999999721
"nuisance50",2,"longTAPIO-first",0.920381208763475,0.916048715051006,1.70900000000256
"nuisance50",2,"longTAPIO-screened",0.935476636711679,0.930427410307807,4.26800000001094
"nuisance50",2,"clusterMLD",0.788423153692615,0.848953900500839,1.59300000000803
"nuisance50",2,"kml3d",0.517409627826913,0.587472147547474,2.02199999999721
"nuisance50",3,"longTAPIO-random_weighted",0.966457577286965,0.957609322538457,3.30299999999988
"nuisance50",3,"longTAPIO-random_weighted_95",0.871290772991506,0.8620760587178,1.78399999999965
"nuisance50",3,"longTAPIO-first",1,1,1.83299999999872
"nuisance50",3,"longTAPIO-screened",1,1,4.37799999999697
"nuisance50",3,"clusterMLD",0.810624056981,0.850990280350933,1.61200000000827
"nuisance50",3,"kml3d",0.718564639427003,0.729409985155704,2.01599999998871
"nuisance50",4,"longTAPIO-random_weighted",0.667253269916766,0.702050306367574,1.7390000000014
"nuisance50",4,"longTAPIO-random_weighted_95",0.731209610704138,0.754044880598284,1.77400000000489
"nuisance50",4,"longTAPIO-first",0.852952833927864,0.88719873517385,1.80499999999302
"nuisance50",4,"longTAPIO-screened",0.707497193098977,0.774618067863881,4.3689999999915
"nuisance50",4,"clusterMLD",0.852952833927864,0.88719873517385,1.58999999999651
"nuisance50",4,"kml3d",0.568866590368735,0.607057894658811,2.04399999999441
"nuisance50",5,"longTAPIO-random_weighted",0.780028730486548,0.775913936892093,1.72499999999127
"nuisance50",5,"longTAPIO-random_weighted_95",0.637678424712732,0.670743616527197,1.7780000000057
"nuisance50",5,"longTAPIO-first",0.90608687323404,0.919697027566247,1.84999999999127
"nuisance50",5,"longTAPIO-screened",0.90608687323404,0.919697027566247,4.3979999999865
"nuisance50",5,"clusterMLD",0.549426416836024,0.667036863059117,1.58999999999651
"nuisance50",5,"kml3d",0.397208754361321,0.484381813468707,1.90200000000186
"nuisance50",6,"longTAPIO-random_weighted",0.727172942029508,0.707592888253469,1.6710000000021
"nuisance50",6,"longTAPIO-random_weighted_95",0.903541929161417,0.89409382632939,1.69999999999709
"nuisance50",6,"longTAPIO-first",1,1,1.7039999999979
"nuisance50",6,"longTAPIO-screened",1,1,4.34200000000419
"nuisance50",6,"clusterMLD",1,1,1.60099999999511
"nuisance50",6,"kml3d",0.515489188490212,0.563043304749937,1.87600000000384
"nuisance50",7,"longTAPIO-random_weighted",0.825349503718632,0.848237196847224,1.75500000000466
"nuisance50",7,"longTAPIO-random_weighted_95",0.655909631391201,0.654572195586155,1.80400000000373
"nuisance50",7,"longTAPIO-first",0.891787034262311,0.89986219754549,1.68499999999767
"nuisance50",7,"longTAPIO-screened",0.891787034262311,0.89986219754549,4.22900000000664
"nuisance50",7,"clusterMLD",0.852384135472371,0.875505928549957,1.70700000000943
"nuisance50",7,"kml3d",0.514055291506397,0.564357441190031,1.87699999999313
"nuisance50",8,"longTAPIO-random_weighted",0.653024764636053,0.679674646779602,1.74200000001292
"nuisance50",8,"longTAPIO-random_weighted_95",0.786109689170367,0.792509035739518,1.85700000000361
"nuisance50",8,"longTAPIO-first",1,1,1.69000000000233
"nuisance50",8,"longTAPIO-screened",1,1,4.23799999999756
"nuisance50",8,"clusterMLD",1,1,1.71399999999267
"nuisance50",8,"kml3d",0.674705270937323,0.701844759693305,1.90700000000652
"nuisance50",9,"longTAPIO-random_weighted",0.620797201552457,0.641182622570177,1.74499999999534
"nuisance50",9,"longTAPIO-random_weighted_95",0.901909524437676,0.887150232574697,1.86499999999069
"nuisance50",9,"longTAPIO-first",1,1,1.6990000000078
"nuisance50",9,"longTAPIO-screened",1,1,4.24400000000605
"nuisance50",9,"clusterMLD",0.935560248288219,0.939569164298292,1.60500000001048
"nuisance50",9,"kml3d",0.789109770094258,0.789379723872332,1.99299999998766
"nuisance50",10,"longTAPIO-random_weighted",0.684431792107586,0.70841962859177,1.72999999999593
"nuisance50",10,"longTAPIO-random_weighted_95",0.797887943678498,0.854705307768019,1.78200000000652
"nuisance50",10,"longTAPIO-first",0.742534301856336,0.818201400504778,1.80899999999383
"nuisance50",10,"longTAPIO-screened",0.771052998281388,0.838040237825178,4.35099999999511
"nuisance50",10,"clusterMLD",0.966889326733625,0.963749350121208,1.59599999999045
"nuisance50",10,"kml3d",0.593009707193504,0.616167908204159,2.01200000000244
"nuisance50",11,"longTAPIO-random_weighted",0.781715262714268,0.766070291979764,1.7219999999943
"nuisance50",11,"longTAPIO-random_weighted_95",0.775496490070198,0.765386268616801,1.77900000000955
"nuisance50",11,"longTAPIO-first",0.950954824598301,0.943005041629734,1.83800000000338
"nuisance50",11,"longTAPIO-screened",1,1,4.37600000000384
"nuisance50",11,"clusterMLD",0.918682674550429,0.907205421990239,1.59500000000116
"nuisance50",11,"kml3d",0.584983684813595,0.628819656642564,2.01400000001013
"nuisance50",12,"longTAPIO-random_weighted",0.600384058883939,0.680584602304805,1.71899999999732
"nuisance50",12,"longTAPIO-random_weighted_95",1,1,1.76999999998952
"nuisance50",12,"longTAPIO-first",1,1,1.80299999999988
"nuisance50",12,"longTAPIO-screened",0.829388373414126,0.873355651440036,4.34100000000035
"nuisance50",12,"clusterMLD",0.788423153692615,0.848953900500839,1.58499999999185
"nuisance50",12,"kml3d",0.637913245774426,0.662969296827967,1.88500000000931
"nuisance50",13,"longTAPIO-random_weighted",0.734245375072187,0.7321768236534,1.78600000000733
"nuisance50",13,"longTAPIO-random_weighted_95",0.81301981067318,0.794939248169735,1.69800000000396
"nuisance50",13,"longTAPIO-first",0.825349503718632,0.848237196847224,1.69800000000396
"nuisance50",13,"longTAPIO-screened",0.83830244746228,0.867281960943419,4.34399999999732
"nuisance50",13,"clusterMLD",0.746103557816974,0.796136943393433,1.57099999999627
"nuisance50",13,"kml3d",0.702314654709804,0.736909062500458,1.89800000000105
"nuisance50",14,"longTAPIO-random_weighted",0.62678860197453,0.635906038715041,1.86100000000442
"nuisance50",14,"longTAPIO-random_weighted_95",0.759755658222386,0.776236064076358,1.68500000001222
"nuisance50",14,"longTAPIO-first",0.950954824598301,0.943005041629734,1.69499999999243
"nuisance50",14,"longTAPIO-screened",0.86549345279939,0.894642707646344,4.23399999999674
"nuisance50",14,"clusterMLD",0.852952833927864,0.88719873517385,1.69500000000698
"nuisance50",14,"kml3d",0.720126640598235,0.760542780110571,1.90200000000186
"nuisance50",15,"longTAPIO-random_weighted",0.8143089585387,0.829269747212694,1.74499999999534
"nuisance50",15,"longTAPIO-random_weighted_95",0.813442842775729,0.807236886939486,1.85000000000582
"nuisance50",15,"longTAPIO-first",0.90608687323404,0.919697027566247,1.69100000000617
"nuisance50",15,"longTAPIO-screened",0.920587353910698,0.929229296672175,4.23699999999371
"nuisance50",15,"clusterMLD",1,1,1.7039999999979
"nuisance50",15,"kml3d",0.554601423936347,0.633450413826307,1.89800000000105
"nuisance50",16,"longTAPIO-random_weighted",0.810099724167197,0.785597746610715,1.75200000000768
"nuisance50",16,"longTAPIO-random_weighted_95",0.950540890175864,0.942776706101372,1.88200000001234
"nuisance50",16,"longTAPIO-first",1,1,1.68899999999849
"nuisance50",16,"longTAPIO-screened",1,1,4.23500000000058
"nuisance50",16,"clusterMLD",1,1,1.61500000000524
"nuisance50",16,"kml3d",0.681485557961565,0.701165208603192,2.0060000000085
"nuisance50",17,"longTAPIO-random_weighted",0.646510498170336,0.654583411006705,1.73700000000827
"nuisance50",17,"longTAPIO-random_weighted_95",0.792467293338549,0.818208327239455,1.77399999999034
"nuisance50",17,"longTAPIO-first",0.966248933639324,0.957499350121208,1.81600000000617
"nuisance50",17,"longTAPIO-screened",0.920587353910698,0.929229296672175,4.35600000001432
"nuisance50",17,"clusterMLD",0.920587353910698,0.929229296672175,1.59300000000803
"nuisance50",17,"kml3d",0.639111821314857,0.672761579261912,2.00099999998929
"nuisance50",18,"longTAPIO-random_weighted",0.732781349738656,0.798507306515453,1.73000000001048
"nuisance50",18,"longTAPIO-random_weighted_95",0.734758775852543,0.779506535029867,1.77199999999721
"nuisance50",18,"longTAPIO-first",0.724040558090767,0.785796007584068,1.84299999999348
"nuisance50",18,"longTAPIO-screened",0.717669441141498,0.782017988521273,4.38199999999779
"nuisance50",18,"clusterMLD",0.840916371056721,0.880116184874871,1.59399999999732
"nuisance50",18,"kml3d",0.514180301938858,0.587345555891131,1.91300000000047
"nuisance50",19,"longTAPIO-random_weighted",0.883019018539584,0.880660774270768,1.66500000000815
"nuisance50",19,"longTAPIO-random_weighted_95",0.916721641817898,0.914058193633821,1.68400000000838
"nuisance50",19,"longTAPIO-first",0.829270032213202,0.856602363649778,1.70499999998719
"nuisance50",19,"longTAPIO-screened",1,1,4.35099999999511
"nuisance50",19,"clusterMLD",1,1,1.60599999999977
"nuisance50",19,"kml3d",0.799404039554471,0.780955535600905,1.8859999999986
"nuisance50",20,"longTAPIO-random_weighted",0.800435988902101,0.820763773566851,1.76499999999942
"nuisance50",20,"longTAPIO-random_weighted_95",0.807545270424122,0.79214531903701,1.80100000000675
"nuisance50",20,"longTAPIO-first",0.852384135472371,0.875505928549957,1.6869999999908
"nuisance50",20,"longTAPIO-screened",0.865030308102486,0.883125014274843,4.23599999998987
"nuisance50",20,"clusterMLD",0.777987679671458,0.831558117389722,1.69899999999325
"nuisance50",20,"kml3d",0.562430952352669,0.616066949129121,1.89400000000023
"nuisance50",21,"longTAPIO-random_weighted",0.757426112099819,0.781726853264094,1.74199999999837
"nuisance50",21,"longTAPIO-random_weighted_95",0.760656786864263,0.745541053516642,1.85899999999674
"nuisance50",21,"longTAPIO-first",0.807871569135163,0.860675523710856,1.68799999999464
"nuisance50",21,"longTAPIO-screened",0.807871569135163,0.860675523710856,4.23399999999674
"nuisance50",21,"clusterMLD",0.983226974646172,0.978804661269229,1.70799999999872
"nuisance50",21,"kml3d",0.693744242525752,0.681939146578957,1.91000000000349
"nuisance50",22,"longTAPIO-random_weighted",0.966889326733625,0.963749350121208,1.74899999999616
"nuisance50",22,"longTAPIO-random_weighted_95",0.753235730956928,0.732860751372921,1.86600000000908
"nuisance50",22,"longTAPIO-first",0.966889326733625,0.963749350121208,1.69500000000698
"nuisance50",22,"longTAPIO-screened",0.966889326733625,0.963749350121208,4.23400000001129
"nuisance50",22,"clusterMLD",0.920381208763475,0.916048715051006,1.71899999999732
"nuisance50",22,"kml3d",0.613691058782889,0.68378270557463,1.91800000000512
"nuisance50",23,"longTAPIO-random_weighted",0.724684697674232,0.772569682330337,1.75299999999697
"nuisance50",23,"longTAPIO-random_weighted_95",0.691231726941307,0.754740646637277,1.86000000000058
"nuisance50",23,"longTAPIO-first",0.728406729914141,0.776764864550373,1.68900000001304
"nuisance50",23,"longTAPIO-screened",0.798835661615144,0.832662062999557,4.2270000000135
"nuisance50",23,"clusterMLD",0.704626106716917,0.762340349884578,1.71700000000419
"nuisance50",23,"kml3d",0.584550185117854,0.646343372547477,1.88099999999395
"nuisance50",24,"longTAPIO-random_weighted",0.808664259927798,0.838919557662993,1.75299999999697
